Question,Solution
28+15 = ?,43
74+59 = ?,133
88+53 = ?,141
14+31 = ?,45
435+465 = ?,900
147+129 = ?,276
107+206 = ?,313
227+167 = ?,394
28+25+24 = ?,77
37+45+44 = ?,126
35+53+34 = ?,122
37+32+23 = ?,92
505+435+465 = ?,1405
192+137+106 = ?,435
599+196+145 = ?,940
180+207+435 = ?,822
84/28 = ?,3
19/95 = ?,0.2
43/86 = ?,0.5
52/13 = ?,4
106/424 = ?,0.25
129/645 = ?,0.2
784/196 = ?,4
657/219 = ?,3
Round to the nearest integer                 5.14+4.28+4.53 = ?  ,14
Round to the nearest integer                 1.76+1.03+4.29 = ?,7
Round to the nearest integer                 1.65+1.27+1.13 = ?,4
Round to the nearest integer                 5.67+1.87+1.42 = ?,9
Round to the nearest integer                 505/564 = ? ,1
Round to the nearest integer                 300/105 = ?,3
Round to the nearest integer                 453/88 = ? ,5
Round to the nearest integer                 141/97 = ?,1
Round to the nearest integer                 303/69 = ?,4